"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"36","005","0133","43552","20","40.8679","-73.87809","WGS84","Methyl ethyl ketone","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0.457627","0.302976",".","0","","","1.2","2017-08-11 00:00","1.2","2017-09-04 00:00","1","2017-08-17 00:00","1","2017-09-16 00:00","0.4","0.7","0.9","1","1.2","1.2","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43504","20","40.8679","-73.87809","WGS84","Propionaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.125","0.093201",".","0","","","0.5","2017-10-22 00:00","0.3","2017-11-03 00:00","0.3","2017-11-21 00:00","0.3","2017-12-03 00:00","0.1","0.2","0.2","0.3","0.3","0.5","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","45504","20","40.8679","-73.87809","WGS84","Tolualdehydes","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0.189831","0.73992",".","0","","","5","2017-06-30 00:00","2.6","2017-06-24 00:00","1.1","2017-06-18 00:00","0.5","2017-05-19 00:00","0","0","0.5","1.1","2.6","5","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43516","20","40.8679","-73.87809","WGS84","Trans-Crotonaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0","0",".","0","","","0","2017-01-01 00:00","0","2017-01-07 00:00","0","2017-01-13 00:00","0","2017-01-19 00:00","0","0","0","0","0","0","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43204","1","40.8679","-73.87809","WGS84","Propane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","1.76862","1.147878",".","0.31","","","10.5","2017-08-02 04:00","9.29","2017-08-18 11:00","7.51","2017-08-02 10:00","7.43","2017-08-02 06:00","1.46","2.24","3.25","4","5.07","5.43","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43206","1","40.8679","-73.87809","WGS84","Acetylene","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.676664","0.689404",".","0","","","15.7","2017-06-01 06:00","7.5","2017-06-19 05:00","5","2017-06-19 04:00","4.8","2017-08-02 08:00","0.5","0.9","1.3","1.6","2","2.3","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43212","1","40.8679","-73.87809","WGS84","n-Butane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","2.035752","1.712439",".","0.27","","","15","2017-08-18 11:00","13.3","2017-08-02 10:00","12.8","2017-08-07 05:00","12.4","2017-08-02 09:00","1.5","2.49","3.95","5.69","7.3","8.26","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43214","1","40.8679","-73.87809","WGS84","Isobutane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","1.846204","1.692758",".","0.28","","","20.3","2017-08-07 05:00","16.1","2017-08-07 04:00","14.8","2017-08-02 10:00","14","2017-06-01 09:00","1.37","2.22","3.69","5.05","6.6","7.98","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43217","1","40.8679","-73.87809","WGS84","cis-2-Butene","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.043632","0.062422",".","0","","","1.2","2017-08-07 10:00","0.34","2017-08-07 08:00","0.33","2017-08-07 05:00","0.29","2017-08-14 01:00","0","0.07","0.11","0.13","0.19","0.23","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43220","1","40.8679","-73.87809","WGS84","n-Pentane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","1.367896","1.238482",".","0.06","","","11.1","2017-08-10 02:00","10.8","2017-08-10 06:00","8.69","2017-08-10 03:00","8.16","2017-08-10 05:00","0.99","1.59","2.53","3.95","5.64","6.79","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43221","1","40.8679","-73.87809","WGS84","Isopentane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","2.379811","2.279174",".","0.09","","","21.9","2017-08-10 02:00","20.7","2017-08-10 06:00","17.2","2017-08-10 03:00","16.7","2017-08-16 17:00","1.71","2.71","4.51","7.1","9.87","11.7","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43224","1","40.8679","-73.87809","WGS84","1-Pentene","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.096212","0.068596",".","0","","","0.5","2017-08-16 17:00","0.43","2017-08-02 05:00","0.43","2017-08-07 06:00","0.42","2017-06-08 03:00","0.08","0.12","0.18","0.22","0.29","0.35","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43226","1","40.8679","-73.87809","WGS84","trans-2-Pentene","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.090797","0.091566",".","0","","","1.08","2017-08-16 17:00","0.81","2017-08-16 18:00","0.71","2017-08-14 01:00","0.7","2017-06-08 03:00","0.08","0.11","0.17","0.23","0.36","0.46","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43227","1","40.8679","-73.87809","WGS84","cis-2-Pentene","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.038488","0.056754",".","0","","","0.55","2017-08-16 17:00","0.42","2017-08-16 18:00","0.36","2017-08-14 01:00","0.35","2017-06-08 03:00","0","0.07","0.1","0.13","0.2","0.25","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43230","1","40.8679","-73.87809","WGS84","3-Methylpentane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.527099","0.411142",".","0.07","","","4.88","2017-08-10 02:00","4.4","2017-08-10 06:00","3.58","2017-08-10 03:00","3.23","2017-08-10 05:00","0.41","0.62","0.99","1.28","1.67","1.94","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43231","1","40.8679","-73.87809","WGS84","n-Hexane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.75424","0.601622",".","0.12","","","7.45","2017-06-17 20:00","6.41","2017-06-17 19:00","4.96","2017-08-10 02:00","4.79","2017-08-10 06:00","0.56","0.89","1.45","1.85","2.47","2.91","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43232","1","40.8679","-73.87809","WGS84","n-Heptane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.507141","0.331027",".","0.05","","","2.31","2017-08-02 09:00","2.18","2017-06-08 03:00","2.08","2017-08-10 06:00","1.9","2017-08-10 05:00","0.41","0.63","0.97","1.22","1.47","1.68","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43233","1","40.8679","-73.87809","WGS84","n-Octane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.311126","0.196161",".","0","","","1.31","2017-08-02 09:00","1.21","2017-08-07 08:00","1.2","2017-08-02 10:00","1.16","2017-06-08 03:00","0.26","0.39","0.57","0.72","0.89","1","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43235","1","40.8679","-73.87809","WGS84","n-Nonane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.389721","0.343877",".","0","","","8.27","2017-08-26 06:00","3.37","2017-08-26 17:00","2.16","2017-08-25 06:00","1.67","2017-08-02 09:00","0.31","0.47","0.7","0.89","1.1","1.28","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43238","1","40.8679","-73.87809","WGS84","n-Decane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.512375","0.499852",".","0","","","12.5","2017-08-26 06:00","4.99","2017-08-26 17:00","2.83","2017-08-25 06:00","2.82","2017-08-25 19:00","0.41","0.62","0.93","1.19","1.58","1.85","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43242","1","40.8679","-73.87809","WGS84","Cyclopentane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.152794","0.252149",".","0","","","4.87","2017-08-13 01:00","4.48","2017-08-13 02:00","2.84","2017-08-13 00:00","2.25","2017-08-13 03:00","0.1","0.16","0.31","0.47","0.63","0.8","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43243","1","40.8679","-73.87809","WGS84","Isoprene","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","2.760296","2.967931",".","0.05","","","20.1","2017-08-02 10:00","16.1","2017-06-19 14:00","16","2017-06-19 11:00","15.9","2017-06-19 12:00","1.77","4.01","6.87","8.94","11.3","12.8","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43244","1","40.8679","-73.87809","WGS84","2,2-Dimethylbutane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.11926","0.107221",".","0","","","0.99","2017-08-10 02:00","0.8","2017-08-10 06:00","0.73","2017-08-10 03:00","0.7","2017-08-10 01:00","0.09","0.14","0.23","0.35","0.47","0.52","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43247","1","40.8679","-73.87809","WGS84","2,4-Dimethylpentane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.265752","0.188709",".","0","","","1.34","2017-08-10 06:00","1.28","2017-08-10 02:00","1.24","2017-08-16 17:00","1.22","2017-06-08 03:00","0.23","0.34","0.5","0.6","0.82","0.97","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43248","1","40.8679","-73.87809","WGS84","Cyclohexane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.32516","0.246042",".","0","","","4.08","2017-06-17 20:00","3.07","2017-06-17 19:00","1.41","2017-08-02 09:00","1.32","2017-06-08 03:00","0.27","0.39","0.61","0.76","0.97","1.13","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
